product_item_id,product_sku_id,sku,vehicle_make_id,title,make_name,vehicle_model_id,model_name,vehicle_engine_id,engine,hp,engine_code
1043,2,04L253010B,2,Turbina SEAT LEON ST 2.0 TDI 4Drive 110 CP - Recondiţionată,SEAT,14,LEON ST,119,2.0 TDI 4Drive,110,CRBC
1043,2,04L253010B,2,Turbina SEAT LEON ST 2.0 TDI 4Drive 110 CP - Recondiţionată,SEAT,14,LEON ST,118,2.0 TDI 4Drive,110,CRLB
1043,2,04L253010B,2,Turbina SEAT LEON ST 2.0 TDI 4Drive 110 CP - Recondiţionată,SEAT,14,LEON ST,117,2.0 TDI 4Drive,110,CRMB
1043,2,04L253010B,2,Turbina SEAT LEON ST 2.0 TDI 4Drive 110 CP - Recondiţionată,SEAT,14,LEON ST,116,2.0 TDI 4Drive,110,DCYA
1043,2,04L253010B,2,Turbina SEAT LEON ST 2.0 TDI 4Drive 110 CP - Recondiţionată,SEAT,14,LEON ST,115,2.0 TDI 4Drive,110,DFGA
1044,2,04L253010B,2,Turbina SEAT TARRACO 2.0 TDI 4Drive 110 CP - Recondiţionată,SEAT,15,TARRACO,120,2.0 TDI 4Drive,110,DFGA
1045,2,04L253010B,2,Turbina SEAT TARRACO 2.0 TDI 110 CP - Recondiţionată,SEAT,15,TARRACO,121,2.0 TDI,110,DFGA
1045,2,04L253010B,2,Turbina SEAT TARRACO 2.0 TDI 110 CP - Recondiţionată,SEAT,15,TARRACO,122,2.0 TDI,110,DTSA
1045,2,04L253010B,2,Turbina SEAT TARRACO 2.0 TDI 110 CP - Recondiţionată,SEAT,15,TARRACO,123,2.0 TDI,110,DTSB
1046,2,04L253010B,3,Turbina SKODA KAROQ 2.0 TDI 110 CP - Recondiţionată,SKODA,16,KAROQ,124,2.0 TDI,110,DFFA
1046,2,04L253010B,3,Turbina SKODA KAROQ 2.0 TDI 110 CP - Recondiţionată,SKODA,16,KAROQ,125,2.0 TDI,110,DTTA
1047,2,04L253010B,3,Turbina SKODA KAROQ 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,16,KAROQ,126,2.0 TDI 4x4,110,DFFA
1047,2,04L253010B,3,Turbina SKODA KAROQ 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,16,KAROQ,127,2.0 TDI 4x4,110,DTTC
1047,2,04L253010B,3,Turbina SKODA KAROQ 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,16,KAROQ,128,2.0 TDI 4x4,110,DXRB
1048,2,04L253010B,3,Turbina SKODA KODIAQ I 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,17,KODIAQ I,130,2.0 TDI 4x4,110,DBGC
1048,2,04L253010B,3,Turbina SKODA KODIAQ I 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,17,KODIAQ I,131,2.0 TDI 4x4,110,DFGA
1048,2,04L253010B,3,Turbina SKODA KODIAQ I 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,17,KODIAQ I,129,2.0 TDI 4x4,110,DTSB
1049,2,04L253010B,3,Turbina SKODA KODIAQ I 2.0 TDI 110 CP - Recondiţionată,SKODA,17,KODIAQ I,133,2.0 TDI,110,DBGC
1049,2,04L253010B,3,Turbina SKODA KODIAQ I 2.0 TDI 110 CP - Recondiţionată,SKODA,17,KODIAQ I,132,2.0 TDI,110,DFGA
1049,2,04L253010B,3,Turbina SKODA KODIAQ I 2.0 TDI 110 CP - Recondiţionată,SKODA,17,KODIAQ I,134,2.0 TDI,110,DTSB
1050,2,04L253010B,3,Turbina SKODA OCTAVIA III 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,18,OCTAVIA III,138,2.0 TDI 4x4,110,CKFC
1050,2,04L253010B,3,Turbina SKODA OCTAVIA III 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,18,OCTAVIA III,136,2.0 TDI 4x4,110,CRMB
1050,2,04L253010B,3,Turbina SKODA OCTAVIA III 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,18,OCTAVIA III,137,2.0 TDI 4x4,110,DCYA
1050,2,04L253010B,3,Turbina SKODA OCTAVIA III 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,18,OCTAVIA III,135,2.0 TDI 4x4,110,DFFA
1051,2,04L253010B,3,Turbina SKODA OCTAVIA III 2.0 TDI 110 CP - Recondiţionată,SKODA,18,OCTAVIA III,140,2.0 TDI,110,CKFC
1051,2,04L253010B,3,Turbina SKODA OCTAVIA III 2.0 TDI 110 CP - Recondiţionată,SKODA,18,OCTAVIA III,141,2.0 TDI,110,CRMB
1051,2,04L253010B,3,Turbina SKODA OCTAVIA III 2.0 TDI 110 CP - Recondiţionată,SKODA,18,OCTAVIA III,139,2.0 TDI,110,CYKA
1051,2,04L253010B,3,Turbina SKODA OCTAVIA III 2.0 TDI 110 CP - Recondiţionată,SKODA,18,OCTAVIA III,143,2.0 TDI,110,DCYA
1051,2,04L253010B,3,Turbina SKODA OCTAVIA III 2.0 TDI 110 CP - Recondiţionată,SKODA,18,OCTAVIA III,142,2.0 TDI,110,DFFA
1052,2,04L253010B,3,Turbina SKODA OCTAVIA III Combi 2.0 TDI 110 CP - Recondiţionată,SKODA,19,OCTAVIA III Combi,146,2.0 TDI,110,CKFC
1052,2,04L253010B,3,Turbina SKODA OCTAVIA III Combi 2.0 TDI 110 CP - Recondiţionată,SKODA,19,OCTAVIA III Combi,147,2.0 TDI,110,CRMB
1052,2,04L253010B,3,Turbina SKODA OCTAVIA III Combi 2.0 TDI 110 CP - Recondiţionată,SKODA,19,OCTAVIA III Combi,145,2.0 TDI,110,CYKA
1052,2,04L253010B,3,Turbina SKODA OCTAVIA III Combi 2.0 TDI 110 CP - Recondiţionată,SKODA,19,OCTAVIA III Combi,148,2.0 TDI,110,DCYA
1052,2,04L253010B,3,Turbina SKODA OCTAVIA III Combi 2.0 TDI 110 CP - Recondiţionată,SKODA,19,OCTAVIA III Combi,144,2.0 TDI,110,DFFA
1053,2,04L253010B,3,Turbina SKODA OCTAVIA III Combi 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,19,OCTAVIA III Combi,149,2.0 TDI 4x4,110,CKFC
1053,2,04L253010B,3,Turbina SKODA OCTAVIA III Combi 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,19,OCTAVIA III Combi,150,2.0 TDI 4x4,110,CRMB
1053,2,04L253010B,3,Turbina SKODA OCTAVIA III Combi 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,19,OCTAVIA III Combi,151,2.0 TDI 4x4,110,DCYA
1053,2,04L253010B,3,Turbina SKODA OCTAVIA III Combi 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,19,OCTAVIA III Combi,152,2.0 TDI 4x4,110,DFFA
1054,2,04L253010B,3,Turbina SKODA SUPERB III 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,20,SUPERB III,153,2.0 TDI 4x4,110,CRLB
1054,2,04L253010B,3,Turbina SKODA SUPERB III 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,20,SUPERB III,154,2.0 TDI 4x4,110,DFEA
1054,2,04L253010B,3,Turbina SKODA SUPERB III 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,20,SUPERB III,155,2.0 TDI 4x4,110,DFGA
1055,2,04L253010B,3,Turbina SKODA SUPERB III 2.0 TDI 110 CP - Recondiţionată,SKODA,20,SUPERB III,156,2.0 TDI,110,CRLB
1055,2,04L253010B,3,Turbina SKODA SUPERB III 2.0 TDI 110 CP - Recondiţionată,SKODA,20,SUPERB III,157,2.0 TDI,110,DFEA
1055,2,04L253010B,3,Turbina SKODA SUPERB III 2.0 TDI 110 CP - Recondiţionată,SKODA,20,SUPERB III,158,2.0 TDI,110,DFGA
1055,2,04L253010B,3,Turbina SKODA SUPERB III 2.0 TDI 110 CP - Recondiţionată,SKODA,20,SUPERB III,159,2.0 TDI,110,DSRA
1055,2,04L253010B,3,Turbina SKODA SUPERB III 2.0 TDI 110 CP - Recondiţionată,SKODA,20,SUPERB III,160,2.0 TDI,110,DSRB
1055,2,04L253010B,3,Turbina SKODA SUPERB III 2.0 TDI 110 CP - Recondiţionată,SKODA,20,SUPERB III,162,2.0 TDI,110,DTSA
1055,2,04L253010B,3,Turbina SKODA SUPERB III 2.0 TDI 110 CP - Recondiţionată,SKODA,20,SUPERB III,161,2.0 TDI,110,DTSB
1056,2,04L253010B,3,Turbina SKODA SUPERB III Estate 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,21,SUPERB III Estate,163,2.0 TDI 4x4,110,CRLB
1056,2,04L253010B,3,Turbina SKODA SUPERB III Estate 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,21,SUPERB III Estate,164,2.0 TDI 4x4,110,DFEA
1056,2,04L253010B,3,Turbina SKODA SUPERB III Estate 2.0 TDI 4x4 110 CP - Recondiţionată,SKODA,21,SUPERB III Estate,165,2.0 TDI 4x4,110,DFGA
1057,2,04L253010B,3,Turbina SKODA SUPERB III Estate 2.0 TDI 110 CP - Recondiţionată,SKODA,21,SUPERB III Estate,166,2.0 TDI,110,CRLB
1057,2,04L253010B,3,Turbina SKODA SUPERB III Estate 2.0 TDI 110 CP - Recondiţionată,SKODA,21,SUPERB III Estate,167,2.0 TDI,110,DFEA
